model,pressure_Pa,flow_L_min,H_W_K,exposed_sink_area_m2,mean_h_W_m2_K,mass_imbalance_fraction,thermal_balance_fraction
official,10,39.73171923462,0.252586309091,0.00645940659354,39.103639851934616,2.7643184316163822e-05,2.332366707604622e-05
p3d,10,37.8769100223,0.323280053083,0.00732671841479,44.1234444646343,5.869222496490106e-05,0.00011561109628511478
official,25,67.17608014380001,0.366405509134,0.00645940659354,56.72432967765788,6.551879803911138e-05,0.00010193005483202376
p3d,25,65.3353888848,0.466565811853,0.00732671841479,63.6800523016105,3.1675458512984937e-06,1.2409115562908405e-05
official,50,99.0743913276,0.472673224055,0.00645940659354,73.17595156925354,8.420234864070616e-06,9.913749062182596e-05
p3d,50,97.2394617744,0.59754699048,0.00732671841479,81.55724795889088,2.8072580721795174e-05,0.0001044080181073889
